country,continent,year,life_expectancy,hdi,co2_per_capita,gdp_per_capita,service_workers_pct
Afghanistan,Asia,2018,62.7,0.509,0.254,569.0,38.4
Albania,Europe,2018,78.4,0.792,1.59,4430.0,43.0
Algeria,Africa,2018,76.0,0.746,3.69,4160.0,59.6
Angola,Africa,2018,64.6,0.582,1.12,3600.0,42.1
Argentina,South America,2018,76.5,0.842,4.41,13100.0,78.0
Armenia,Asia,2018,75.6,0.771,1.89,4050.0,51.1
Australia,Oceania,2018,82.9,0.943,16.9,58600.0,77.5
Austria,Europe,2018,82.1,0.921,7.75,46300.0,70.9
Azerbaijan,Asia,2018,70.8,0.754,3.7,5260.0,49.0
Bahamas,North America,2018,73.8,0.812,4.7,32700.0,83.3
Bahrain,Asia,2018,77.0,0.852,19.8,21700.0,63.6
Bangladesh,Asia,2018,74.2,0.625,0.531,1500.0,39.8
Barbados,North America,2018,76.5,0.81,4.48,16800.0,78.1
Belarus,Europe,2018,74.0,0.823,6.93,6140.0,58.1
Belgium,Europe,2018,81.4,0.93,8.69,42400.0,77.9
Belize,North America,2018,74.4,0.714,1.5,4710.0,67.4
Benin,Africa,2018,64.0,0.541,0.623,1160.0,42.6
Bhutan,Asia,2018,73.0,0.649,1.61,3100.0,33.6
Bolivia,South America,2018,71.8,0.714,1.96,3290.0,49.5
Bosnia and Herzegovina,Europe,2018,76.9,0.777,6.53,5380.0,52.1
Botswana,Africa,2018,61.8,0.73,2.96,7170.0,61.9
Brazil,South America,2018,75.7,0.762,2.18,8580.0,70.6
Brunei,Asia,2018,74.2,0.836,18.5,29800.0,79.4
Bulgaria,Europe,2018,73.3,0.813,6.32,7990.0,63.3
Burkina Faso,Africa,2018,61.3,0.443,0.198,719.0,47.7
Burundi,Africa,2018,63.4,0.431,0.0467,282.0,10.3
Cambodia,Asia,2018,69.7,0.585,0.64,1360.0,36.6
Cameroon,Africa,2018,62.6,0.56,0.323,1380.0,41.4
Canada,North America,2018,82.2,0.928,15.3,44800.0,78.9
Cape Verde,Africa,2018,73.5,0.663,1.16,3330.0,66.3
Central African Republic,Africa,2018,51.5,0.395,0.0651,413.0,23.4
Chad,Africa,2018,59.9,0.397,0.0656,659.0,22.7
Chile,South America,2018,80.1,0.849,4.59,13900.0,68.5
China,Asia,2018,77.4,0.755,7.06,9690.0,45.6
Colombia,South America,2018,80.1,0.764,1.96,6270.0,63.3
Comoros,Africa,2018,68.5,0.552,0.263,1290.0,45.7
"Congo, Dem. Rep.",Africa,2018,64.7,0.478,0.0243,507.0,25.5
"Congo, Rep.",Africa,2018,65.0,0.573,0.617,1840.0,44.5
Costa Rica,North America,2018,80.0,0.808,1.61,12500.0,67.9
Cote d'Ivoire,Africa,2018,63.6,0.534,0.335,2250.0,46.1
Croatia,Europe,2018,78.6,0.848,4.48,13300.0,66.3
Cuba,North America,2018,78.3,0.781,2.53,8040.0,65.3
Cyprus,Asia,2018,80.8,0.885,6.3,32000.0,81.2
Czech Republic,Europe,2018,79.3,0.898,9.94,19700.0,59.7
Denmark,Europe,2018,81.1,0.939,6.06,56600.0,78.9
Djibouti,Africa,2018,66.7,0.518,0.672,3090.0,61.1
Dominican Republic,North America,2018,72.9,0.751,2.34,8000.0,71.0
Ecuador,South America,2018,76.2,0.762,2.46,5950.0,52.6
Egypt,Africa,2018,70.7,0.701,2.43,3830.0,50.8
El Salvador,North America,2018,75.6,0.67,1.11,3920.0,61.1
Equatorial Guinea,Africa,2018,65.8,0.582,4.35,8120.0,40.5
Estonia,Europe,2018,77.9,0.889,14.8,19700.0,67.1
Eswatini,Africa,2018,57.8,0.605,1.06,3780.0,63.8
Ethiopia,Africa,2018,68.4,0.478,0.137,757.0,23.5
Fiji,Oceania,2018,68.3,0.742,2.41,5940.0,67.8
Finland,Europe,2018,81.8,0.937,8.52,45600.0,74.0
France,Europe,2018,82.9,0.898,5.2,38300.0,77.3
Gabon,Africa,2018,67.5,0.697,2.53,7020.0,58.7
Gambia,Africa,2018,66.4,0.487,0.268,693.0,57.2
Georgia,Asia,2018,73.3,0.805,2.64,4540.0,46.9
Germany,Europe,2018,81.2,0.946,9.14,43000.0,71.4
Ghana,Africa,2018,65.8,0.606,0.615,1890.0,48.5
Greece,Europe,2018,81.0,0.881,7.03,18600.0,72.5
Guatemala,North America,2018,72.4,0.657,1.07,4160.0,49.6
Guinea,Africa,2018,60.6,0.473,0.256,921.0,32.9
Guinea-Bissau,Africa,2018,60.3,0.472,0.181,638.0,30.3
Guyana,South America,2018,67.1,0.68,3.12,6180.0,59.2
Haiti,North America,2018,63.5,0.508,0.27,1410.0,64.4
Honduras,North America,2018,71.9,0.633,1.04,2480.0,49.1
"Hong Kong, China",Asia,2018,84.3,0.946,5.86,45300.0,88.5
Hungary,Europe,2018,76.3,0.85,5.14,14400.0,62.7
Iceland,Europe,2018,84.0,0.946,10.8,57700.0,79.2
India,Asia,2018,70.5,0.642,1.96,1920.0,31.7
Indonesia,Asia,2018,71.1,0.712,2.3,3730.0,48.1
Iran,Asia,2018,77.6,0.785,8.81,5200.0,50.3
Iraq,Asia,2018,73.3,0.671,5.32,4790.0,58.4
Ireland,Europe,2018,82.0,0.951,8.09,72600.0,76.4
Israel,Asia,2018,83.0,0.916,7.67,37600.0,81.8
